#{"manifestVersion":1,"columnDefinitions":[{"csvName":"Country","dbName":"country","csvIndex":0,"type":"text"},{"csvName":"Time","dbName":"time","csvIndex":1,"type":"text"},{"csvName":"category_1","dbName":"category_1","csvIndex":2,"type":"text"},{"csvName":"category_2","dbName":"category_2","csvIndex":3,"type":"text"},{"csvName":"category_3","dbName":"category_3","csvIndex":4,"type":"text"},{"csvName":"category_4","dbName":"category_4","csvIndex":5,"type":"text"},{"csvName":"value","dbName":"value","csvIndex":6,"type":"integer"}]}
"Country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"General Government"	""	"6292"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"Households"	""	"327"
"finnland"	"2003-07-01"	"Total"	"Domestic"	"NPISHs"	""	"91"
"finnland"	"2003-07-01"	"Total"	"Rest of the world"	""	""	"50321"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1281"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"2070"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"409"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3017"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"919"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"General Government"	""	"5794"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"Households"	""	"617"
"finnland"	"2003-10-01"	"Total"	"Domestic"	"NPISHs"	""	"86"
"finnland"	"2003-10-01"	"Total"	"Rest of the world"	""	""	"47700"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1165"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"1892"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"433"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"2656"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"943"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"General Government"	""	"3958"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"Households"	""	"538"
"finnland"	"2004-01-01"	"Total"	"Domestic"	"NPISHs"	""	"86"
"finnland"	"2004-01-01"	"Total"	"Rest of the world"	""	""	"48203"
"finnland"	"2004-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1061"
"finnland"	"2004-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2004-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"1974"
"finnland"	"2004-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"359"
"finnland"	"2004-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"2534"
